City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-vila,-17.7338,168.3219,25.47,84,100,7.71,VU,1713365531
1,jamestown,42.097,-79.2353,14.29,84,100,2.06,US,1713365400
2,port alfred,-33.5906,26.891,25.1,69,1,6.46,ZA,1713365532
3,puerto natales,-51.7236,-72.4875,13.25,62,75,4.63,CL,1713365533
4,port-aux-francais,-49.35,70.2167,3.32,98,100,11.1,TF,1713365533
5,saipan,15.1355,145.701,27.39,74,20,3.6,MP,1713365534
6,iqaluit,63.7506,-68.5145,-6.23,86,96,3.56,CA,1713365314
7,mili,6.0815,171.735,28.17,81,81,6.9,MH,1713365536
8,hinton,53.4001,-117.5857,-1.87,67,100,2.28,CA,1713365536
9,adamstown,-25.066,-130.1015,21.79,72,92,11.12,PN,1713365537
10,floro,61.5996,5.0328,9.98,32,0,4.63,NO,1713365538
11,bilibino,68.0546,166.4372,-22.54,98,52,1.98,RU,1713365539
12,bhamo,24.2667,97.2333,29.52,33,73,0.49,MM,1713365539
13,waitangi,-43.9535,-176.5597,13.23,94,54,4.68,NZ,1713365540
14,nova vicosa,-17.8919,-39.3719,29.11,53,58,3.55,BR,1713365376
15,cabo san lucas,22.8909,-109.9124,23.12,80,100,2.68,MX,1713365292
16,taltal,-25.4,-70.4833,21.39,66,1,2.34,CL,1713365545
17,siwa oasis,29.2041,25.5195,30.09,20,0,9.95,EG,1713365546
18,hobbs,32.7026,-103.136,22.04,13,0,3.09,US,1713365547
19,hammerfest,70.6634,23.6821,-1.75,59,40,4.12,NO,1713365547
20,la ronge,55.1001,-105.2842,-0.84,94,100,7.95,CA,1713365548
21,hasaki,35.7333,140.8333,16.22,82,86,4.54,JP,1713365549
22,grytviken,-54.2811,-36.5092,5.4,88,92,2.37,GS,1713365550
23,vozhega,60.4725,40.2213,3.56,76,99,2.7,RU,1713365550
24,blackmans bay,-43.0167,147.3167,10.07,78,68,0.45,AU,1713365551
25,edinburgh of the seven seas,-37.0676,-12.3116,14.81,73,100,11.36,SH,1713365552
26,ilulissat,69.2167,-51.1,-3.99,54,20,0.0,GL,1713365552
27,midvagur,62.0511,-7.1939,6.46,65,75,4.63,FO,1713365553
28,qaqortoq,60.7167,-46.0333,0.79,97,100,1.18,GL,1713365554
29,international falls,48.6011,-93.411,4.52,93,100,2.06,US,1713365556
30,makoua,0.0069,15.6333,31.18,60,76,0.8,CG,1713365557
31,gwoza,11.1036,13.713,42.09,9,100,1.7,NG,1713365558
32,fale old settlement,-9.3852,-171.2468,29.05,73,12,2.35,TK,1713365558
33,geraldton,-28.7667,114.6,23.23,49,44,1.54,AU,1713365559
34,avarua,-21.2078,-159.775,26.03,78,14,4.63,CK,1713365560
35,flying fish cove,-10.4217,105.6791,27.82,83,100,6.69,CX,1713365560
36,hola,51.5377,23.1902,11.1,73,89,5.58,PL,1713365561
37,mitsamiouli,-11.3847,43.2844,28.6,78,100,2.17,KM,1713365563
38,anadyr,64.75,177.4833,-18.72,71,0,3.0,RU,1713365564
39,yellowknife,62.456,-114.3525,-8.1,79,11,0.89,CA,1713365564
40,nichinan,31.6,131.3667,19.82,91,100,1.37,JP,1713365518
41,alice springs,-23.7,133.8833,13.75,62,4,2.57,AU,1713365566
42,corinto,37.9407,22.9573,23.57,46,58,1.99,GR,1713365567
43,kendari,-3.945,122.4989,24.98,93,95,0.84,ID,1713365568
44,severo-yeniseyskiy,60.3725,93.0408,-4.68,94,9,2.24,RU,1713365569
45,priozersk,61.0393,30.1291,0.56,75,98,3.56,RU,1713365570
46,ribeira grande,38.5167,-28.7,18.22,88,40,5.81,PT,1713365571
47,baramula,34.2,74.35,14.27,52,100,1.91,IN,1713365571
48,zhezqazghan,47.7833,67.7667,17.32,55,40,4.0,KZ,1713365572
49,bethel,41.3712,-73.414,15.86,49,0,4.63,US,1713365573
50,namibe,-15.1961,12.1522,27.59,72,2,3.95,AO,1713365573
51,condado,21.8767,-79.8403,29.3,46,4,5.6,CU,1713365574
52,usinsk,65.9939,57.5281,-11.74,92,100,7.51,RU,1713365575
53,whitehorse,60.7161,-135.0538,-6.61,84,4,2.39,CA,1713365576
54,karratha,-20.7377,116.8463,28.53,43,2,1.75,AU,1713365576
55,klaksvik,62.2266,-6.589,6.51,67,74,6.33,FO,1713365578
56,margaret river,-33.95,115.0667,18.08,51,0,5.17,AU,1713365579
57,badger,64.8,-147.5333,-1.05,73,75,2.57,US,1713365579
58,manacapuru,-3.2997,-60.6206,27.64,82,100,1.04,BR,1713365534
59,lihue,21.9789,-159.3672,21.58,82,100,2.06,US,1713365581
60,ternate,0.8,127.4,27.31,78,96,0.99,ID,1713365582
61,college,64.8569,-147.8028,-1.01,73,75,2.57,US,1713365582
62,kavaratti,10.5669,72.642,29.6,74,97,3.78,IN,1713365583
63,kununurra,-15.7667,128.7333,23.99,73,99,0.0,AU,1713365584
64,nantucket,41.2835,-70.0995,11.08,66,0,4.63,US,1713365584
